code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
19-00001,1500,0,0,0,0,1500,1500
19-00003,900,0,0,0,900,0,0
19-00004,0,0,0,0,0,0,0
19-00005,0,0,0,0,0,0,0
19-00006,0,0,0,0,0,0,0
19-00007,5490,0,1010,0,0,6500,5490
19-00010,420,0,0,0,0,420,420
19-00012,115,0,0,0,0,115,115
19-00015,115,0,0,0,0,115,115
19-00017,750,0,0,0,750,0,0
19-00018,1500,0,0,0,750,750,750
19-00022,0,0,0,0,0,0,0
19-00026,0,0,0,0,0,0,0
19-00031,1335,0,0,0,0,1335,1335
19-00032,0,0,0,0,0,0,0
19-00033,450,0,0,0,0,450,450
19-00034,1500,0,0,0,0,1500,1500
19-00035,0,0,0,0,0,0,0
19-00040,0,0,0,0,0,0,0
19-00048,21496.3,0,0,0,6848,14648.3,14648.3
19-00052,3450,0,0,0,1150,2300,2300
19-00057,2325,0,0,0,450,1875,1875
19-00058,500,0,0,0,0,500,500
19-00060,0,0,0,0,0,0,0
19-00065,4176.95,0,0,0,1260,2916.95,2916.95
19-00068,450,0,0,0,0,450,450
19-00069,1400,0,0,0,0,1400,1400
19-00074,220,0,0,0,0,220,220
19-00075,288,0,0,0,0,288,288
19-00076,882.86,0,0,0,0,882.86,882.86
19-00077,660,0,0,0,0,660,660
19-00078,135,0,0,0,0,135,135
19-00079,220,0,0,0,0,220,220
19-00080,534.22,0,0,0,0,534.22,534.22
19-00081,620,0,0,0,0,620,620
19-00082,270,0,0,0,0,270,270
19-00083,235.63,0,0,0,0,235.63,235.63
19-00084,370.63,0,0,0,0,370.63,370.63
19-00085,315,0,0,0,0,315,315
19-00086,471.26,0,0,0,0,471.26,471.26
19-00087,434.16,0,0,0,0,434.16,434.16
19-00089,360,0,0,0,0,360,360
19-00090,682.5,0,0,0,0,682.5,682.5
19-00091,440,0,0,0,0,440,440
19-00092,540,0,0,0,0,540,540
19-00093,200,0,0,0,0,200,200
19-00094,126.67,0,0,0,0,126.67,126.67
19-00095,135,0,0,0,0,135,135
19-00096,135,0,0,0,0,135,135
19-00097,245,0,0,0,0,245,245
19-00098,245,0,0,0,0,245,245
19-00099,220,0,0,0,0,220,220
19-00100,245,0,0,0,0,245,245
19-00101,245.01,0,0,0,0,245.01,245.01
19-00109,1050,0,0,0,700,350,350
19-00110,0,0,0,0,0,0,0
19-00112,10700,0,0,0,0,10700,10700
19-00116,1712,0,0,0,428,1284,1284
19-00117,380,0,0,0,0,380,380
19-00121,25423.2,0,0,0,0,25423.2,25423.2
19-00129,0,0,0,0,0,0,0
19-00131,2720,0,0,0,1360,1360,1360
19-00132,3000,0,0,0,0,3000,3000
19-00133,10593,0,0,0,0,10593,10593
19-00138,0,0,0,0,0,0,0
19-00140,500,0,0,0,0,500,500
19-00141,250,0,0,0,0,250,250
19-00142,250,0,0,0,0,250,250
19-00143,90,0,0,0,0,90,90
19-00144,235,0,0,0,0,235,235
19-00145,220,0,0,0,0,220,220
19-00146,180,0,0,0,0,180,180
19-00147,180,0,0,0,0,180,180
19-00148,131600,0,0,0,0,131600,131600
19-00155,1550,0,0,0,0,1550,1550
19-00157,1600,0,0,0,0,1600,1600
19-00159,454.54,0,0,0,0,454.54,454.54
19-00160,1306.25,0,0,0,0,1306.25,1306.25
19-00161,500,0,0,0,250,250,250
19-00162,250,0,0,0,0,250,250
19-00163,1740,0,0,0,0,1740,1740
19-00164,0,0,0,0,0,0,0
19-00165,0,0,0,0,0,0,0
19-00167,0,0,0,0,0,0,0
19-00171,560,0,0,0,0,560,560
19-00174,1540,0,0,0,110,1430,1430
19-00176,0,0,0,0,0,0,0
19-00182,16700,0,0,0,3340,13360,13360
19-00186,960,0,0,0,0,960,960
19-00187,350,0,0,0,0,350,350
19-00188,0,0,0,0,0,0,0
19-00192,100,0,0,0,0,100,100
19-00193,150,0,0,0,0,150,150
19-00194,100,0,0,0,0,100,100
19-00203,0,0,0,0,0,0,0
19-00210,500,0,0,0,0,500,500
19-00212,500,0,0,0,0,500,500
19-00213,5440,0,0,0,0,5440,5440
19-00218,130,0,0,0,0,130,130
19-00219,7150,0,0,0,0,7150,7150
19-00222,0,0,0,0,0,0,0
19-00223,0,0,0,0,0,0,0
19-00230,4200,0,0,0,0,4200,4200
19-00232,1414.28,0,0,0,700,714.28,714.28
19-00234,4200,0,0,0,750,3450,3450
19-00237,0,0,0,0,0,0,0
19-00245,240,0,0,0,240,0,0
19-00247,935,0,0,0,170,765,765
19-00248,480,0,0,0,0,480,480
19-00249,-0,0,0,0,0,-0,-0
19-00258,375,0,0,0,375,0,0
19-00259,1500,0,0,0,0,1500,1500
19-00262,0,0,0,0,0,0,0
19-00266,290,0,0,0,0,290,290
19-00268,350,0,0,0,0,350,350
19-00273,480,0,0,0,0,480,480
19-00274,4820.57,0,0,0,0,4820.57,4820.57
19-00276,0,0,0,0,0,0,0
19-00277,70,0,0,0,0,70,70
19-00278,140,0,0,0,0,140,140
19-00279,1750,0,0,0,0,1750,1750
19-00280,700,0,0,0,0,700,700
19-00284,13350,0,0,0,0,13350,13350
19-00286,0,0,0,0,0,0,0
19-00287,1200,0,0,0,240,960,960
19-00288,1590,0,0,0,318,1272,1272
19-00300,5600,0,0,0,0,5600,5600
19-00301,950,0,0,0,0,950,950
19-00302,0,0,0,0,0,0,0
19-00304,4350,0,0,0,0,4350,4350
19-00308,0,0,0,0,0,0,0
19-00309,17160,0,0,0,3900,13260,13260
19-00310,350,0,0,0,0,350,350
19-00335,160,0,0,0,0,160,160
19-00347,340,0,0,0,0,340,340
19-00348,900,0,0,0,0,900,900
19-00349,0,0,0,0,0,0,0
19-00359,5880,0,0,0,490,5390,5390
19-00365,12800,0,0,0,0,12800,12800
19-00380,1520,0,0,0,0,1520,1520
19-00384,19260,0,0,0,0,19260,19260
19-00385,32100,0,0,0,0,32100,32100
19-00386,3750,0,0,0,0,3750,3750
19-00387,0,0,0,0,0,0,0
19-00388,11000,0,0,0,0,11000,11000
19-00389,0,0,0,0,0,0,0
19-00390,760,0,0,0,0,760,760
19-00391,1299.6,0,0,0,0,1299.6,1299.6
19-00393,0,0,0,0,0,0,0
19-00398,0,0,0,0,0,0,0
19-00418,1829.47,0,0,0,0,1829.47,1829.47
19-00419,9130.67,0,0,0,0,9130.67,9130.67
19-00426,90,0,0,0,0,90,90
19-00427,90,0,0,0,0,90,90
19-00428,90,0,0,0,0,90,90
M19-1,8700,0,0,0,0,8700,8700
M19-10,12358.5,0,0,0,0,12358.5,12358.5
M19-11,6591.2,0,0,0,1647.8,4943.4,4943.4
M19-12,1027.2,0,0,0,0,1027.2,1027.2
M19-13,1027.2,0,0,0,0,1027.2,1027.2
M19-14,6420,0,0,0,1070,5350,5350
M19-15,0,0,0,0,0,0,0
M19-16,0,0,0,0,0,0,0
M19-2,4500,0,0,0,0,4500,4500
M19-7,1975,0,0,0,0,1975,1975
M19-9,0,0,0,0,0,0,0
